id,error_type
425,DEMANOM
978,DEMANOM
979,DEMANOM
2018,DEMANOM
2047,DEMANOM
2067,DEMANOM
2152,DEMANOM
2155,DEMANOM
2274,DEMANOM
4968,DEMANOM
4981,DEMANOM
